[Summary]
Novonix HPC data file
Novonix
Channel: 09
Cell: 2023-12-12_fullcell_aqds_vanadium_insituUVvis.csv
Serial Number: 
Description: Enter description here...
Protocol: CCCV_fullcell_50mA_until_200mV_chrge1p3V_dischrge0p4V.pro1
Mass (g): 1.000
Capacity (Ah): 1.000
Area (cm2): 1.000
DC Offset Voltage (V): 0.00000
Started: 12/12/2023 10:58:00 AM
Version: 2.2.0.2
[End Summary]
[Protocol]
Protocol: CCCV_fullcell_50mA_until_200mV_chrge1p3V_dischrge0p4V.pro1
[0: Open_circuit_storage:]
   [End step when step time > 30 seconds]
   [Save data when Δt > 2 seconds]
   [StepLimits -999 999999 0 50 0 100 0 100 -150 500 -150 500 -0.624045864045863 1.47535724815725 -0.624045864045863 1.47535724815725 -999 2 0 2]
[5: Repeat: 8000 time(s) Node count: 3]
   [3: CC-CV_charge: 50 mA to 1.3 V]
      [During CV, End step when step time > 4 hours or when abs(I) < 5 mA]
      [Any time, Save data when ΔV > 0.002 V or when Δt > 2 seconds]
      [StepLimits 0 10 0 10 0 100 0 100 -150 500 -150 500 -0.562948402948403 1.41975823095823 -0.562948402948403 1.41975823095823 0 1.76216216216216 0 1.74234234234234]
   [4: CC-CV_discharge: 50 mA to 0.4 V]
      [During CV, End step when step time > 4 hours or when abs(I) < 5 mA]
      [Any time, Save data when ΔV > 0.002 V or when Δt > 2 seconds]
      [StepLimits 0 10 0 10 0 100 0 100 -150 500 -150 500 -0.555806715806716 1.41042686322686 -0.555806715806716 1.41042686322686 0 1.72252252252252 0 1.72252252252252]
   [6: Increment_cycle_counter:]
[End Protocol]
[Data]
Date and Time,Cycle Number,Step Type,Run Time (h),Step Time (h),Current (A),Potential (V),Capacity (Ah),Temperature (°C),Circuit Temperature (°C),Energy (Wh),dVdt (I/h),dIdt (V/h),Step Number,Step position
12/12/2023 10:58:21 AM,1,0,0.0057611,0.0057611,0.0000000000,0.45580685,0.0000000000,-9999.00000000,21.282,0.0000000000,0.0000000,0.0000000,1,0
12/12/2023 10:58:22 AM,1,0,0.0063389,0.0063389,0.0000000000,0.45573226,0.0000000000,-9999.00000000,21.275,0.0000000000,0.0000000,0.0000000,1,0
12/12/2023 10:58:25 AM,1,0,0.0069167,0.0069167,0.0000000000,0.45566522,0.0000000000,-9999.00000000,21.278,0.0000000000,0.0000000,0.0000000,1,0
12/12/2023 10:58:27 AM,1,0,0.0074944,0.0074944,0.0000000000,0.45559788,0.0000000000,-9999.00000000,21.274,0.0000000000,0.0000000,0.0000000,1,0
12/12/2023 10:58:29 AM,1,0,0.0080722,0.0080722,0.0000000000,0.45552413,0.0000000000,-9999.00000000,21.281,0.0000000000,0.0000000,0.0000000,1,0
12/12/2023 10:58:30 AM,1,0,0.0083333,0.0083333,0.0000000000,0.45549092,0.0000000000,-9999.00000000,21.288,0.0000000000,0.0000000,0.0000000,1,3
12/12/2023 10:58:30 AM,1,0,0.0083611,0.0083611,0.0000000000,0.45549092,0.0000000000,-9999.00000000,21.279,0.0000000000,0.0000000,0.0000000,1,2
12/12/2023 10:58:31 AM,1,7,0.0085778,0.0000000,0.0000000000,0.45547038,0.0000000000,-9999.00000000,21.271,0.0000000000,0.0000000,0.0000000,2,1
12/12/2023 10:58:31 AM,1,7,0.0086139,0.0000361,0.0430419104,0.46165835,0.0000015543,-9999.00000000,21.271,0.0000007176,0.0000000,0.0000000,2,0
12/12/2023 10:58:31 AM,1,7,0.0086500,0.0000722,0.0508788609,0.47118952,0.0000033916,-9999.00000000,21.271,0.0000015833,0.0000000,0.0000000,2,0
12/12/2023 10:58:31 AM,1,7,0.0086861,0.0001083,0.0498767947,0.47650619,0.0000051927,-9999.00000000,21.271,0.0000024415,0.0000000,0.0000000,2,0
12/12/2023 10:58:31 AM,1,7,0.0087222,0.0001444,0.0500016791,0.48122748,0.0000069983,-9999.00000000,21.285,0.0000033104,0.0000000,0.0000000,2,0
12/12/2023 10:58:31 AM,1,7,0.0087583,0.0001806,0.0500133826,0.48565163,0.0000088043,-9999.00000000,21.285,0.0000041875,0.0000000,0.0000000,2,0
12/12/2023 10:58:31 AM,1,7,0.0087944,0.0002167,0.0499930066,0.48994857,0.0000106096,-9999.00000000,21.285,0.0000050720,0.0000000,0.0000000,2,0
12/12/2023 10:58:31 AM,1,7,0.0088306,0.0002528,0.0499983827,0.49416420,0.0000124151,-9999.00000000,21.288,0.0000059642,0.0000000,0.0000000,2,0
12/12/2023 10:58:32 AM,1,7,0.0088667,0.0002889,0.0499949338,0.49831486,0.0000142205,-9999.00000000,21.288,0.0000068639,0.0000000,0.0000000,2,0
12/12/2023 10:58:32 AM,1,7,0.0089028,0.0003250,0.0499944978,0.50240970,0.0000160259,-9999.00000000,21.288,0.0000077709,0.0000000,0.0000000,2,0
12/12/2023 10:58:32 AM,1,7,0.0089389,0.0003611,0.0499938269,0.50646904,0.0000178312,-9999.00000000,21.275,0.0000086853,0.0000000,0.0000000,2,0
12/12/2023 10:58:32 AM,1,7,0.0089750,0.0003972,0.0499930585,0.51050059,0.0000196365,-9999.00000000,21.275,0.0000096069,0.0000000,0.0000000,2,0
12/12/2023 10:58:32 AM,1,7,0.0090111,0.0004333,0.0499926621,0.51449534,0.0000214418,-9999.00000000,21.275,0.0000105357,0.0000000,0.0000000,2,0
12/12/2023 10:58:32 AM,1,7,0.0090472,0.0004694,0.0499920888,0.51846749,0.0000232471,-9999.00000000,21.270,0.0000114717,0.0000000,0.0000000,2,0
12/12/2023 10:58:32 AM,1,7,0.0090833,0.0005056,0.0499918174,0.52243246,0.0000250523,-9999.00000000,21.270,0.0000124148,0.0000000,0.0000000,2,0
12/12/2023 10:58:33 AM,1,7,0.0091194,0.0005417,0.0499914698,0.52637010,0.0000268576,-9999.00000000,21.270,0.0000133650,0.0000000,0.0000000,2,0
12/12/2023 10:58:33 AM,1,7,0.0091556,0.0005778,0.0499914545,0.53028895,0.0000286628,-9999.00000000,21.281,0.0000143223,0.0000000,0.0000000,2,0
12/12/2023 10:58:33 AM,1,7,0.0091917,0.0006139,0.0499908934,0.53421674,0.0000304681,-9999.00000000,21.281,0.0000152867,0.0000000,0.0000000,2,0
12/12/2023 10:58:33 AM,1,7,0.0092278,0.0006500,0.0499910764,0.53811032,0.0000322733,-9999.00000000,21.281,0.0000162581,0.0000000,0.0000000,2,0
12/12/2023 10:58:33 AM,1,7,0.0092639,0.0006861,0.0499903842,0.54199795,0.0000340785,-9999.00000000,21.289,0.0000172365,0.0000000,0.0000000,2,0
12/12/2023 10:58:33 AM,1,7,0.0093000,0.0007222,0.0499905885,0.54590069,0.0000358837,-9999.00000000,21.289,0.0000182220,0.0000000,0.0000000,2,0
12/12/2023 10:58:33 AM,1,7,0.0093361,0.0007583,0.0499900213,0.54976969,0.0000376889,-9999.00000000,21.289,0.0000192144,0.0000000,0.0000000,2,0
12/12/2023 10:58:33 AM,1,7,0.0093722,0.0007944,0.0499901250,0.55363708,0.0000394941,-9999.00000000,21.291,0.0000202139,0.0000000,0.0000000,2,0
12/12/2023 10:58:34 AM,1,7,0.0094083,0.0008306,0.0499897590,0.55751691,0.0000412993,-9999.00000000,21.291,0.0000212203,0.0000000,0.0000000,2,0
12/12/2023 10:58:34 AM,1,7,0.0094444,0.0008667,0.0499897377,0.56136109,0.0000431045,-9999.00000000,21.291,0.0000222336,0.0000000,0.0000000,2,0
12/12/2023 10:58:34 AM,1,7,0.0094806,0.0009028,0.0499897316,0.56521069,0.0000449097,-9999.00000000,21.278,0.0000232540,0.0000000,0.0000000,2,0
12/12/2023 10:58:34 AM,1,7,0.0095167,0.0009389,0.0499894480,0.56907159,0.0000467148,-9999.00000000,21.278,0.0000242812,0.0000000,0.0000000,2,0
12/12/2023 10:58:34 AM,1,7,0.0095528,0.0009750,0.0499895761,0.57289645,0.0000485200,-9999.00000000,21.278,0.0000253154,0.0000000,0.0000000,2,0
12/12/2023 10:58:34 AM,1,7,0.0095889,0.0010111,0.0499894023,0.57673743,0.0000503252,-9999.00000000,21.272,0.0000263565,0.0000000,0.0000000,2,0
12/12/2023 10:58:34 AM,1,7,0.0096250,0.0010472,0.0499893535,0.58057527,0.0000521304,-9999.00000000,21.272,0.0000274046,0.0000000,0.0000000,2,0
12/12/2023 10:58:35 AM,1,7,0.0096611,0.0010833,0.0499892986,0.58437936,0.0000539355,-9999.00000000,21.272,0.0000284595,0.0000000,0.0000000,2,0
12/12/2023 10:58:35 AM,1,7,0.0096972,0.0011194,0.0499894114,0.58820032,0.0000557407,-9999.00000000,21.283,0.0000295213,0.0000000,0.0000000,2,0
12/12/2023 10:58:35 AM,1,7,0.0097333,0.0011556,0.0499891217,0.59201457,0.0000575459,-9999.00000000,21.283,0.0000305899,0.0000000,0.0000000,2,0
12/12/2023 10:58:35 AM,1,7,0.0097694,0.0011917,0.0499892833,0.59580133,0.0000593510,-9999.00000000,21.283,0.0000316655,0.0000000,0.0000000,2,0
12/12/2023 10:58:35 AM,1,7,0.0098056,0.0012278,0.0499887162,0.59959702,0.0000611562,-9999.00000000,21.292,0.0000327478,0.0000000,0.0000000,2,0
12/12/2023 10:58:35 AM,1,7,0.0098417,0.0012639,0.0499893657,0.60338111,0.0000629614,-9999.00000000,21.292,0.0000338370,0.0000000,0.0000000,2,0
12/12/2023 10:58:35 AM,1,7,0.0098778,0.0013000,0.0499887162,0.60714512,0.0000647665,-9999.00000000,21.292,0.0000349330,0.0000000,0.0000000,2,0
12/12/2023 10:58:36 AM,1,7,0.0099139,0.0013361,0.0499888137,0.61091454,0.0000665717,-9999.00000000,21.291,0.0000360358,0.0000000,0.0000000,2,0
12/12/2023 10:58:36 AM,1,7,0.0099500,0.0013722,0.0499886643,0.61466733,0.0000683768,-9999.00000000,21.291,0.0000371454,0.0000000,0.0000000,2,0
12/12/2023 10:58:36 AM,1,7,0.0099861,0.0014083,0.0499887131,0.61840881,0.0000701819,-9999.00000000,21.291,0.0000382617,0.0000000,0.0000000,2,0
12/12/2023 10:58:36 AM,1,7,0.0100222,0.0014444,0.0499887162,0.62213830,0.0000719871,-9999.00000000,21.280,0.0000393848,0.0000000,0.0000000,2,0
12/12/2023 10:58:36 AM,1,7,0.0100583,0.0014806,0.0499886216,0.62585596,0.0000737922,-9999.00000000,21.280,0.0000405145,0.0000000,0.0000000,2,0
12/12/2023 10:58:36 AM,1,7,0.0100944,0.0015167,0.0499886399,0.62955553,0.0000755974,-9999.00000000,21.280,0.0000416510,0.0000000,0.0000000,2,0
12/12/2023 10:58:36 AM,1,7,0.0101306,0.0015528,0.0499886033,0.63323112,0.0000774025,-9999.00000000,21.279,0.0000427940,0.0000000,0.0000000,2,0
12/12/2023 10:58:36 AM,1,7,0.0101667,0.0015889,0.0499885667,0.63689823,0.0000792077,-9999.00000000,21.279,0.0000439437,0.0000000,0.0000000,2,0
12/12/2023 10:58:37 AM,1,7,0.0102028,0.0016250,0.0499885240,0.64053763,0.0000810128,-9999.00000000,21.279,0.0000451000,0.0000000,0.0000000,2,0
12/12/2023 10:58:37 AM,1,7,0.0102389,0.0016611,0.0499888320,0.64414932,0.0000828180,-9999.00000000,21.281,0.0000462628,0.0000000,0.0000000,2,0
12/12/2023 10:58:37 AM,1,7,0.0102750,0.0016972,0.0499884021,0.64775230,0.0000846231,-9999.00000000,21.281,0.0000474320,0.0000000,0.0000000,2,0
12/12/2023 10:58:37 AM,1,7,0.0103111,0.0017333,0.0499887924,0.65131146,0.0000864283,-9999.00000000,21.281,0.0000486078,0.0000000,0.0000000,2,0
12/12/2023 10:58:37 AM,1,7,0.0103472,0.0017694,0.0499882130,0.65483572,0.0000882334,-9999.00000000,21.298,0.0000497898,0.0000000,0.0000000,2,0
12/12/2023 10:58:37 AM,1,7,0.0103833,0.0018056,0.0499885881,0.65834991,0.0000900385,-9999.00000000,21.298,0.0000509782,0.0000000,0.0000000,2,0
12/12/2023 10:58:37 AM,1,7,0.0104194,0.0018417,0.0499881947,0.66180798,0.0000918437,-9999.00000000,21.298,0.0000521729,0.0000000,0.0000000,2,0
12/12/2023 10:58:38 AM,1,7,0.0104556,0.0018778,0.0499883136,0.66522879,0.0000936488,-9999.00000000,21.297,0.0000533737,0.0000000,0.0000000,2,0
12/12/2023 10:58:38 AM,1,7,0.0104917,0.0019139,0.0499881886,0.66862959,0.0000954539,-9999.00000000,21.297,0.0000545807,0.0000000,0.0000000,2,0
12/12/2023 10:58:38 AM,1,7,0.0105278,0.0019500,0.0499882435,0.67194955,0.0000972590,-9999.00000000,21.297,0.0000557936,0.0000000,0.0000000,2,0
12/12/2023 10:58:38 AM,1,7,0.0105639,0.0019861,0.0499882679,0.67522178,0.0000990642,-9999.00000000,21.288,0.0000570125,0.0000000,0.0000000,2,0
12/12/2023 10:58:38 AM,1,7,0.0106000,0.0020222,0.0499881703,0.67845294,0.0001008693,-9999.00000000,21.288,0.0000582372,0.0000000,0.0000000,2,0
12/12/2023 10:58:38 AM,1,7,0.0106361,0.0020583,0.0499882831,0.68158721,0.0001026744,-9999.00000000,21.288,0.0000594676,0.0000000,0.0000000,2,0
12/12/2023 10:58:38 AM,1,7,0.0106722,0.0020944,0.0499882588,0.68465437,0.0001044796,-9999.00000000,21.286,0.0000607034,0.0000000,0.0000000,2,0
12/12/2023 10:58:38 AM,1,7,0.0107083,0.0021306,0.0499882679,0.68764320,0.0001062847,-9999.00000000,21.286,0.0000619447,0.0000000,0.0000000,2,0
12/12/2023 10:58:39 AM,1,7,0.0107444,0.0021667,0.0499881337,0.69050628,0.0001080898,-9999.00000000,21.286,0.0000631912,0.0000000,0.0000000,2,0
12/12/2023 10:58:39 AM,1,7,0.0107806,0.0022028,0.0499884448,0.69328072,0.0001098950,-9999.00000000,21.290,0.0000644426,0.0000000,0.0000000,2,0
12/12/2023 10:58:39 AM,1,7,0.0108167,0.0022389,0.0499881886,0.69593621,0.0001117001,-9999.00000000,21.290,0.0000656989,0.0000000,0.0000000,2,0
12/12/2023 10:58:39 AM,1,7,0.0108528,0.0022750,0.0499883594,0.69844480,0.0001135052,-9999.00000000,21.290,0.0000669597,0.0000000,0.0000000,2,0
12/12/2023 10:58:39 AM,1,7,0.0108889,0.0023111,0.0499879599,0.70084513,0.0001153104,-9999.00000000,21.298,0.0000682248,0.0000000,0.0000000,2,0
12/12/2023 10:58:39 AM,1,7,0.0109250,0.0023472,0.0499883990,0.70310986,0.0001171155,-9999.00000000,21.298,0.0000694940,0.0000000,0.0000000,2,0
12/12/2023 10:58:39 AM,1,7,0.0109611,0.0023833,0.0499879935,0.70521976,0.0001189206,-9999.00000000,21.298,0.0000707670,0.0000000,0.0000000,2,0
12/12/2023 10:58:40 AM,1,7,0.0110333,0.0024556,0.0499879508,0.70907316,0.0001225309,-9999.00000000,21.300,0.0000733236,0.0000000,0.0000000,2,0
12/12/2023 10:58:40 AM,1,7,0.0111056,0.0025278,0.0499879843,0.71241425,0.0001261411,-9999.00000000,21.287,0.0000758927,0.0000000,0.0000000,2,0
12/12/2023 10:58:40 AM,1,7,0.0111778,0.0026000,0.0499878989,0.71531344,0.0001297513,-9999.00000000,21.287,0.0000784726,0.0000000,0.0000000,2,0
12/12/2023 10:58:40 AM,1,7,0.0112500,0.0026722,0.0499878806,0.71783333,0.0001333616,-9999.00000000,21.284,0.0000810619,0.0000000,0.0000000,2,0
12/12/2023 10:58:40 AM,1,7,0.0113222,0.0027444,0.0499882313,0.72002034,0.0001369718,-9999.00000000,21.290,0.0000836595,0.0000000,0.0000000,2,0
12/12/2023 10:58:41 AM,1,7,0.0114306,0.0028528,0.0499877404,0.72282463,0.0001423872,-9999.00000000,21.298,0.0000875690,0.0000000,0.0000000,2,0
12/12/2023 10:58:41 AM,1,7,0.0115389,0.0029611,0.0499877404,0.72517686,0.0001478026,-9999.00000000,21.301,0.0000914920,0.0000000,0.0000000,2,0
12/12/2023 10:58:42 AM,1,7,0.0116472,0.0030694,0.0499878593,0.72718498,0.0001532179,-9999.00000000,21.287,0.0000954265,0.0000000,0.0000000,2,0
12/12/2023 10:58:42 AM,1,7,0.0117917,0.0032139,0.0499878806,0.72947712,0.0001604384,-9999.00000000,21.284,0.0001006877,0.0000000,0.0000000,2,0
12/12/2023 10:58:43 AM,1,7,0.0119722,0.0033944,0.0499876336,0.73184561,0.0001694640,-9999.00000000,21.298,0.0001072848,0.0000000,0.0000000,2,0
12/12/2023 10:58:44 AM,1,7,0.0121889,0.0036111,0.0499877587,0.73420761,0.0001802946,-9999.00000000,21.288,0.0001152265,0.0000000,0.0000000,2,0
12/12/2023 10:58:45 AM,1,7,0.0124417,0.0038639,0.0499877526,0.73650701,0.0001929304,-9999.00000000,21.283,0.0001245208,0.0000000,0.0000000,2,0
12/12/2023 10:58:46 AM,1,7,0.0127306,0.0041528,0.0499877312,0.73868959,0.0002073713,-9999.00000000,21.278,0.0001351748,0.0000000,0.0000000,2,0
12/12/2023 10:58:47 AM,1,7,0.0130556,0.0044778,0.0499874537,0.74077421,0.0002236173,-9999.00000000,21.292,0.0001471949,0.0000000,0.0000000,2,0
12/12/2023 10:58:48 AM,1,7,0.0134528,0.0048750,0.0499875970,0.74291633,0.0002434735,-9999.00000000,21.275,0.0001619277,0.0000000,0.0000000,2,0
12/12/2023 10:58:50 AM,1,7,0.0139222,0.0053444,0.0499876001,0.74502523,0.0002669399,-9999.00000000,21.277,0.0001793887,0.0000000,0.0000000,2,0
12/12/2023 10:58:52 AM,1,7,0.0144639,0.0058861,0.0499876001,0.74706992,0.0002940165,-9999.00000000,21.275,0.0001995920,0.0000000,0.0000000,2,0
12/12/2023 10:58:54 AM,1,7,0.0150417,0.0064639,0.0499874629,0.74890344,0.0003228982,-9999.00000000,21.279,0.0002211974,0.0000000,0.0000000,2,0
12/12/2023 10:58:56 AM,1,7,0.0156194,0.0070417,0.0499874751,0.75043300,0.0003517798,-9999.00000000,21.280,0.0002428510,0.0000000,0.0000000,2,0
12/12/2023 10:58:58 AM,1,7,0.0161972,0.0076194,0.0499877068,0.75175643,0.0003806615,-9999.00000000,21.290,0.0002645457,0.0000000,0.0000000,2,0
12/12/2023 10:59:00 AM,1,7,0.0167750,0.0081972,0.0499874324,0.75292312,0.0004095431,-9999.00000000,21.284,0.0002862759,0.0000000,0.0000000,2,0
12/12/2023 10:59:02 AM,1,7,0.0173528,0.0087750,0.0499876428,0.75392756,0.0004384247,-9999.00000000,21.285,0.0003080372,0.0000000,0.0000000,2,0
12/12/2023 10:59:04 AM,1,7,0.0179306,0.0093528,0.0499871244,0.75482046,0.0004673063,-9999.00000000,21.297,0.0003298257,0.0000000,0.0000000,2,0
12/12/2023 10:59:07 AM,1,7,0.0185083,0.0099306,0.0499875239,0.75564411,0.0004961879,-9999.00000000,21.301,0.0003516389,0.0000000,0.0000000,2,0
12/12/2023 10:59:08 AM,1,7,0.0190861,0.0105083,0.0499872220,0.75639324,0.0005250695,-9999.00000000,21.303,0.0003734747,0.0000000,0.0000000,2,0
12/12/2023 10:59:11 AM,1,7,0.0196639,0.0110861,0.0499872555,0.75708259,0.0005539511,-9999.00000000,21.306,0.0003953314,0.0000000,0.0000000,2,0
12/12/2023 10:59:13 AM,1,7,0.0202417,0.0116639,0.0499871640,0.75775713,0.0005828327,-9999.00000000,21.309,0.0004172076,0.0000000,0.0000000,2,0
12/12/2023 10:59:15 AM,1,7,0.0208194,0.0122417,0.0499872555,0.75837273,0.0006117142,-9999.00000000,21.305,0.0004391022,0.0000000,0.0000000,2,0
12/12/2023 10:59:17 AM,1,7,0.0213972,0.0128194,0.0499872799,0.75894970,0.0006405958,-9999.00000000,21.292,0.0004610141,0.0000000,0.0000000,2,0
12/12/2023 10:59:19 AM,1,7,0.0219750,0.0133972,0.0499872189,0.75949185,0.0006694773,-9999.00000000,21.291,0.0004829422,0.0000000,0.0000000,2,0
12/12/2023 10:59:21 AM,1,7,0.0225528,0.0139750,0.0499873927,0.76001789,0.0006983589,-9999.00000000,21.292,0.0005048857,0.0000000,0.0000000,2,0
12/12/2023 10:59:23 AM,1,7,0.0231306,0.0145528,0.0499872037,0.76049774,0.0007272404,-9999.00000000,21.285,0.0005268436,0.0000000,0.0000000,2,0
12/12/2023 10:59:25 AM,1,7,0.0237083,0.0151306,0.0499872830,0.76096629,0.0007561220,-9999.00000000,21.279,0.0005488152,0.0000000,0.0000000,2,0
12/12/2023 10:59:27 AM,1,7,0.0242861,0.0157083,0.0499872951,0.76142660,0.0007850035,-9999.00000000,21.277,0.0005708000,0.0000000,0.0000000,2,0
12/12/2023 10:59:29 AM,1,7,0.0248639,0.0162861,0.0499875452,0.76183606,0.0008138851,-9999.00000000,21.280,0.0005927975,0.0000000,0.0000000,2,0
12/12/2023 10:59:31 AM,1,7,0.0254417,0.0168639,0.0499872464,0.76224025,0.0008427666,-9999.00000000,21.277,0.0006148070,0.0000000,0.0000000,2,0
12/12/2023 10:59:34 AM,1,7,0.0260194,0.0174417,0.0499875543,0.76263260,0.0008716481,-9999.00000000,21.273,0.0006368278,0.0000000,0.0000000,2,0
12/12/2023 10:59:35 AM,1,7,0.0265972,0.0180194,0.0499870786,0.76300480,0.0009005297,-9999.00000000,21.287,0.0006588596,0.0000000,0.0000000,2,0
12/12/2023 10:59:38 AM,1,7,0.0271750,0.0185972,0.0499875970,0.76335623,0.0009294112,-9999.00000000,21.282,0.0006809018,0.0000000,0.0000000,2,0
12/12/2023 10:59:40 AM,1,7,0.0277528,0.0191750,0.0499870695,0.76370240,0.0009582928,-9999.00000000,21.280,0.0007029540,0.0000000,0.0000000,2,0
12/12/2023 10:59:42 AM,1,7,0.0283306,0.0197528,0.0499872342,0.76403139,0.0009871743,-9999.00000000,21.277,0.0007250160,0.0000000,0.0000000,2,0
12/12/2023 10:59:44 AM,1,7,0.0289083,0.0203306,0.0499871762,0.76434472,0.0010160558,-9999.00000000,21.277,0.0007470874,0.0000000,0.0000000,2,0
12/12/2023 10:59:46 AM,1,7,0.0294861,0.0209083,0.0499872067,0.76466386,0.0010449374,-9999.00000000,21.283,0.0007691678,0.0000000,0.0000000,2,0
12/12/2023 10:59:48 AM,1,7,0.0300639,0.0214861,0.0499872555,0.76497757,0.0010738189,-9999.00000000,21.268,0.0007912572,0.0000000,0.0000000,2,0
12/12/2023 10:59:50 AM,1,7,0.0306417,0.0220639,0.0499871884,0.76526449,0.0011027004,-9999.00000000,21.268,0.0008133554,0.0000000,0.0000000,2,0
12/12/2023 10:59:52 AM,1,7,0.0312194,0.0226417,0.0499872067,0.76555164,0.0011315819,-9999.00000000,21.270,0.0008354618,0.0000000,0.0000000,2,0
12/12/2023 10:59:54 AM,1,7,0.0317972,0.0232194,0.0499872464,0.76583634,0.0011604635,-9999.00000000,21.268,0.0008575765,0.0000000,0.0000000,2,0
12/12/2023 10:59:56 AM,1,7,0.0323750,0.0237972,0.0499871945,0.76610570,0.0011893450,-9999.00000000,21.270,0.0008796991,0.0000000,0.0000000,2,0
12/12/2023 10:59:59 AM,1,7,0.0329528,0.0243750,0.0499871732,0.76637239,0.0012182265,-9999.00000000,21.271,0.0009018295,0.0000000,0.0000000,2,0
12/12/2023 11:00:01 AM,1,7,0.0335306,0.0249528,0.0499875482,0.76665060,0.0012471080,-9999.00000000,21.274,0.0009239677,0.0000000,0.0000000,2,0
12/12/2023 11:00:03 AM,1,7,0.0341083,0.0255306,0.0499873256,0.76690767,0.0012759896,-9999.00000000,21.272,0.0009461136,0.0000000,0.0000000,2,0
12/12/2023 11:00:05 AM,1,7,0.0346861,0.0261083,0.0499874659,0.76716275,0.0013048711,-9999.00000000,21.278,0.0009682672,0.0000000,0.0000000,2,0
12/12/2023 11:00:07 AM,1,7,0.0352639,0.0266861,0.0499871061,0.76742791,0.0013337526,-9999.00000000,21.288,0.0009904281,0.0000000,0.0000000,2,0
12/12/2023 11:00:09 AM,1,7,0.0358417,0.0272639,0.0499874995,0.76766146,0.0013626341,-9999.00000000,21.288,0.0010125962,0.0000000,0.0000000,2,0
12/12/2023 11:00:11 AM,1,7,0.0364194,0.0278417,0.0499870177,0.76790577,0.0013915156,-9999.00000000,21.287,0.0010347712,0.0000000,0.0000000,2,0
